,name_en,unemployment_rate_null,n_obs,null_percentage
0,Austria,0.0,648,0.0
1,Belgium,0.0,1008,0.0
2,Bulgaria,180.0,576,0.3125
3,Croatia,216.0,324,0.6666666666666666
4,Cyprus,0.0,396,0.0
5,Czech Republic,0.0,468,0.0
6,Denmark,0.0,1008,0.0
7,Estonia,0.0,387,0.0
8,Finland,0.0,828,0.0
9,France,0.0,1008,0.0
10,Germany (including  former GDR from 1991),0.0,504,0.0
11,Greece,0.0,450,0.0
12,Hungary,36.0,576,0.0625
13,Ireland,0.0,1008,0.0
14,Italy,0.0,924,0.0
15,Latvia,0.0,459,0.0
16,Lithuania,0.0,459,0.0
17,Luxembourg,0.0,1008,0.0
18,Malta,180.0,576,0.3125
19,Netherlands,0.0,1008,0.0
20,Norway,0.0,786,0.0
21,Poland,72.0,576,0.125
22,Portugal,0.0,1008,0.0
23,Romania,0.0,423,0.0
24,Slovakia,108.0,576,0.1875
25,Slovenia,36.0,576,0.0625
26,Spain,117.0,1008,0.11607142857142858
27,Sweden,0.0,1008,0.0
28,Turkey,0.0,210,0.0
29,United Kingdom,0.0,1002,0.0
